,woman_0,other_1,other_0,someone_1,someone_0,man_1,woman_1,man_0
janitor,0.1999999999999993,6.349999999999998,6.649999999999997,3.049999999999997,7.850000000000001,0.0,0.0,2.1499999999999915
plumber,3.8499999999999943,7.700000000000001,2.5,0.0,0.0,0.09999999999999998,0.0,0.09999999999999432
practitioner,40.3,17.050000000000004,16.85000000000001,3.75,0.9499999999999993,0.0,0.0,7.15
engineer,0.0,12.849999999999998,11.350000000000001,0.25,13.899999999999991,0.2,0.15,3.0999999999999943
counselor,33.35,11.249999999999993,19.4,3.0,14.449999999999996,0.0,0.0,42.099999999999994
worker,0.05,10.049999999999997,4.3999999999999915,8.3,7.25,0.0,0.0,10.15
dispatcher,3.0,0.8999999999999995,0.8500000000000003,21.999999999999996,2.45,0.0,0.0,0.0
paramedic,0.55,3.6000000000000014,1.2999999999999972,4.699999999999996,2.0500000000000114,0.0,0.0,1.25
broker,34.499999999999986,18.799999999999997,0.25,9.149999999999999,1.5499999999999998,0.0,0.0,0.25
pathologist,0.0,8.400000000000006,31.299999999999997,0.0,0.0,0.0,0.0,0.0
specialist,0.0,18.350000000000005,27.099999999999998,8.400000000000006,15.3,0.0,0.0,0.7500000000000001
bartender,0.3,9.0,34.849999999999994,11.049999999999997,33.599999999999994,0.0,0.0,53.6
advisor,14.050000000000004,2.4499999999999993,1.3000000000000007,4.2499999999999964,9.950000000000003,0.04999999999999716,0.05,5.45
scientist,7.35,45.3,44.4,16.199999999999996,23.049999999999997,0.2,0.09999999999999432,4.249999999999999
surgeon,0.049999999999998934,4.450000000000003,0.0,15.300000000000011,24.450000000000003,0.0,0.25,0.0
chef,7.1999999999999975,0.0,3.0500000000000007,0.0,0.0,0.0,0.0,0.0
mechanic,0.0,17.150000000000002,11.249999999999998,0.0,5.800000000000001,0.25,4.8500000000000005,0.55
chemist,0.0,11.850000000000001,15.500000000000014,6.400000000000006,11.600000000000001,0.04999999999999999,0.04999999999999999,21.699999999999996
physician,3.5,0.1499999999999999,0.6499999999999999,3.450000000000003,13.800000000000011,0.0,0.0,0.1
hygienist,2.1499999999999773,5.000000000000001,2.3499999999999996,4.75,10.800000000000004,0.0,0.0,1.35
salesperson,10.2,15.650000000000006,6.8500000000000085,13.700000000000003,6.800000000000004,0.0,0.0,9.799999999999999
officer,3.5,1.5499999999999998,0.1,8.75,0.5,0.0,0.0,0.45
