,someone_1,man_1,woman_0,other_1,man_0,someone_0,woman_1,other_0
pathologist,0.0,0.05,17.94999999999999,30.250000000000007,11.999999999999986,15.999999999999996,0.0,0.0
janitor,8.75,0.0,11.950000000000003,21.650000000000006,0.3000000000000007,0.9500000000000028,0.05000000000000002,1.25
baker,35.24999999999999,0.35,2.650000000000002,28.0,9.600000000000001,10.45,1.75,12.700000000000003
carpenter,3.049999999999997,0.15000000000000013,0.8500000000000085,0.1999999999999993,0.15000000000000002,0.15000000000000002,0.29999999999999716,0.75
nutritionist,0.0,0.0,16.950000000000003,25.1,30.1,26.64999999999999,0.0,29.349999999999994
advisor,11.399999999999999,0.75,6.650000000000002,13.350000000000001,1.3500000000000085,10.000000000000004,0.6499999999999999,16.75
scientist,9.0,1.0999999999999999,2.5,16.800000000000004,19.5,19.65,0.7,5.15
inspector,18.25,0.10000000000000009,6.349999999999994,10.5,14.499999999999986,12.2,0.20000000000001705,2.3499999999999996
supervisor,0.0,0.0,8.000000000000002,15.450000000000003,0.5499999999999998,12.749999999999998,0.04999999999999716,0.0
hygienist,3.9000000000000057,0.10000000000000853,10.300000000000004,27.749999999999993,1.9499999999999993,8.549999999999997,0.05000000000000002,17.75
administrator,5.300000000000001,0.75,0.55,17.14999999999999,10.1,0.5,0.15000000000000002,0.3999999999999999
accountant,0.0,0.0,0.9000000000000004,10.850000000000009,18.0,15.049999999999997,0.0,3.6999999999999993
investigator,11.25,0.0,15.400000000000006,0.0,9.949999999999989,15.599999999999998,0.0,13.050000000000002
examiner,0.6500000000000001,0.0,18.5,0.0,10.649999999999999,11.299999999999999,0.0,0.0
physician,9.200000000000003,0.1,13.100000000000001,23.750000000000004,0.14999999999999997,13.300000000000002,0.04999999999999999,0.7
psychologist,5.999999999999999,0.0,2.3999999999999986,27.0,22.0,17.199999999999996,0.04999999999998295,16.9
paramedic,1.0499999999999998,0.0,0.39999999999999947,0.0,10.250000000000004,9.849999999999998,0.0,6.65
appraiser,8.7,0.0,15.700000000000017,18.549999999999997,2.1500000000000004,16.35000000000001,0.29999999999999716,13.249999999999998
broker,4.950000000000003,0.04999999999999993,0.6000000000000001,9.350000000000001,5.150000000000006,14.250000000000014,0.3500000000000001,2.9000000000000004
