,other_1,someone_0,other_0,woman_0,woman_1,someone_1,man_0,man_1
advisor,11.25,4.099999999999994,0.29999999999999716,1.2999999999999998,19.64999999999999,12.549999999999997,1.1500000000000057,3.4000000000000004
receptionist,6.25,5.950000000000003,2.0500000000000114,1.4500000000000002,0.35,0.40000000000000036,4.5,2.3499999999999996
dietitian,1.3999999999999915,5.4,4.35,6.950000000000003,0.0,3.9499999999999993,1.8999999999999995,0.0
physician,7.099999999999998,22.85000000000001,1.7500000000000018,3.799999999999997,0.0,21.64999999999999,0.5499999999999999,0.0
appraiser,5.199999999999999,3.3499999999999996,3.5,2.0,11.199999999999989,3.049999999999999,1.5000000000000004,1.45
carpenter,5.549999999999997,2.9,4.950000000000003,1.9000000000000004,8.65,4.1,2.0,0.9000000000000057
engineer,19.70000000000001,2.25,1.4000000000000001,6.649999999999999,9.099999999999994,1.5499999999999972,10.849999999999994,0.5499999999999999
surgeon,15.549999999999997,8.650000000000002,0.0,11.549999999999999,0.0,11.199999999999989,0.0,0.0
baker,4.750000000000007,6.300000000000001,11.0,2.0,0.09999999999999987,0.3,1.6500000000000004,0.15000000000000568
instructor,6.449999999999989,79.25,0.0,0.0,0.0,0.0,100.0,0.0
janitor,7.5,0.75,10.549999999999997,0.5499999999999998,0.0,0.0,0.05,0.10000000000000853
chef,4.549999999999983,4.25,4.35,1.5,2.799999999999997,5.0,1.5999999999999996,0.0
