,other_1,someone_1,man_0,woman_0,woman_1,other_0,man_1,someone_0
baker,0.0,9.5,9.700000000000003,0.19999999999999973,0.0,0.7999999999999998,0.0,1.6500000000000004
programmer,18.200000000000003,20.1,0.20000000000000007,10.650000000000002,0.0,0.44999999999999996,0.1,19.75
cashier,8.399999999999999,13.849999999999994,4.899999999999999,11.099999999999994,0.0,10.850000000000001,0.04999999999999999,11.099999999999994
architect,15.899999999999995,0.0,5.6,17.349999999999994,3.0,0.0,0.0,14.799999999999997
salesperson,0.05,22.0,10.450000000000003,12.199999999999996,0.0,8.950000000000003,0.5000000000000142,12.150000000000002
bartender,14.349999999999994,0.14999999999999997,16.60000000000001,12.550000000000011,0.10000000000000853,2.4499999999999993,0.05000000000000002,9.350000000000001
scientist,15.899999999999999,20.65,39.00000000000001,21.05,5.1499999999999995,4.15,0.0,35.599999999999994
accountant,9.5,9.850000000000001,1.65,16.499999999999996,0.0,3.3000000000000003,0.0,7.349999999999999
chemist,14.599999999999994,16.75,9.05,4.349999999999998,0.0,10.000000000000002,0.04999999999999716,11.599999999999998
chef,17.899999999999995,20.95,14.550000000000011,0.0,0.14999999999999997,0.0,0.1,0.0
secretary,0.14999999999999858,23.5,0.7999999999999972,13.949999999999989,0.04999999999999999,10.000000000000004,0.30000000000000004,8.399999999999999
manager,13.899999999999999,17.15,23.300000000000004,19.5,0.04999999999999999,23.849999999999994,0.3500000000000085,20.800000000000004
janitor,2.1000000000000085,5.599999999999998,7.099999999999998,7.5,0.0,16.749999999999986,0.0,10.799999999999999
carpenter,5.200000000000003,3.7,0.1,1.2000000000000002,0.3499999999999943,1.0499999999999994,0.09999999999999432,0.4500000000000002
veterinarian,15.700000000000003,0.0,6.300000000000001,6.399999999999999,0.0,12.399999999999999,0.09999999999999432,10.3
auditor,37.7,32.2,0.0,0.0,0.0,18.5,0.0,0.0
surgeon,16.44999999999999,16.35,4.299999999999997,14.299999999999997,0.0,14.95,0.0,8.5
hygienist,15.100000000000009,15.850000000000001,1.3499999999999996,19.700000000000003,0.1,3.0500000000000007,0.0,4.399999999999999
clerk,14.0,14.249999999999996,0.5499999999999972,8.850000000000001,0.0,37.550000000000004,0.0,0.0
therapist,0.0,20.69999999999999,26.4,0.55,0.04999999999999716,19.549999999999997,0.04999999999999999,3.6499999999999995
examiner,32.54999999999999,19.599999999999994,0.0,35.949999999999996,0.0,33.89999999999999,0.15000000000000002,0.0
hairdresser,0.30000000000000027,0.9500000000000028,11.699999999999989,0.34999999999999987,9.549999999999999,18.449999999999996,0.25,2.1000000000000005
