,other_1,someone_1,man_0,woman_0,woman_1,other_0,man_1,someone_0
psychologist,1.0499999999999998,16.5,14.950000000000003,22.299999999999997,0.0,15.25,0.0,4.099999999999998
specialist,3.9000000000000004,24.849999999999994,16.10000000000001,17.999999999999993,0.0,13.649999999999999,0.0,23.75
instructor,0.0,14.95,0.0,0.0,0.0,0.0,0.0,0.0
dietitian,28.650000000000006,0.35,37.650000000000006,4.950000000000001,0.0,2.6500000000000004,0.04999999999999716,55.90000000000001
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatcher,5.100000000000001,9.150000000000006,0.0,16.65,0.6499999999999999,0.0,0.6000000000000001,15.749999999999993
nutritionist,20.6,0.0,28.10000000000001,0.0,0.0,0.0,0.0,31.55
paramedic,0.0,4.75,13.750000000000002,1.5,0.0,11.85,0.0,2.3999999999999995
technician,6.0,1.8499999999999996,3.55,18.6,0.1,9.299999999999999,0.0,3.849999999999999
inspector,15.95,14.199999999999996,15.299999999999999,19.05000000000001,1.2000000000000028,13.5,0.050000000000000044,20.450000000000003
electrician,0.0,4.1000000000000005,2.4499999999999993,1.9000000000000004,0.0,1.55,0.0,5.5
mechanic,0.0,12.999999999999996,0.3,7.2,0.0,1.1,0.0,4.1000000000000085
counselor,17.599999999999994,15.5,0.0,23.9,0.10000000000000853,0.0,0.0,0.0
lawyer,13.900000000000006,5.100000000000001,0.0,4.600000000000001,0.0,15.549999999999997,0.20000000000000284,0.0
supervisor,14.850000000000001,19.55000000000001,13.199999999999996,0.0,0.05000000000001137,11.549999999999997,0.0,0.0
educator,10.5,23.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0
administrator,10.800000000000002,11.349999999999994,17.749999999999993,2.1999999999999997,0.7000000000000028,11.7,0.30000000000000004,23.900000000000006
appraiser,19.3,8.549999999999997,3.0500000000000007,11.5,0.0,18.150000000000006,0.0,15.549999999999999
officer,9.45,9.399999999999999,7.099999999999994,17.200000000000003,0.0,0.0,0.0,18.400000000000006
firefighter,5.650000000000006,5.149999999999999,0.5499999999999998,4.75,0.3500000000000001,1.6000000000000005,0.2,3.9499999999999997
nurse,18.999999999999996,18.450000000000006,0.6999999999999957,0.14999999999999147,0.0,0.5500000000000003,0.0,0.0
librarian,3.5500000000000007,0.0,0.0,0.5499999999999998,0.0,21.799999999999997,0.0,0.0
pharmacist,1.2500000000000004,19.25,14.900000000000002,22.250000000000007,0.0,18.75,0.0,26.900000000000006
practitioner,1.8999999999999995,36.050000000000004,5.550000000000004,26.4,0.0,15.699999999999996,0.0,11.649999999999999
pathologist,0.0,16.85000000000001,0.0,0.0,0.0,19.75,0.0,20.25
receptionist,7.300000000000004,12.549999999999997,7.449999999999989,8.150000000000006,0.09999999999999987,3.55,0.04999999999999993,4.3
broker,11.100000000000001,3.349999999999998,1.05,1.15,15.650000000000002,19.400000000000006,5.0,10.700000000000001
investigator,0.0,0.15000000000000002,15.300000000000011,0.0,0.10000000000000853,20.349999999999994,0.1,17.849999999999994
paralegal,1.5999999999999979,0.9500000000000028,0.0,0.0,0.14999999999999147,11.149999999999991,0.1,12.75
engineer,8.95,5.05,7.149999999999999,12.149999999999991,0.25,16.6,0.0,7.649999999999999
advisor,23.05,17.499999999999996,10.650000000000006,24.200000000000003,0.7,2.9499999999999997,1.4500000000000002,24.099999999999994
planner,10.000000000000004,0.0,0.0,32.800000000000004,0.0,0.0,0.0,12.750000000000002
painter,15.5,9.299999999999997,25.000000000000014,16.099999999999998,0.2,23.65,0.0,27.349999999999998
doctor,0.09999999999999964,10.099999999999994,13.7,0.45,0.29999999999999716,0.7,0.0,0.8499999999999999
teacher,9.249999999999993,0.9500000000000028,9.049999999999997,11.699999999999996,0.14999999999999997,8.099999999999994,0.09999999999999998,3.8500000000000005
machinist,9.899999999999991,16.30000000000001,0.0,2.3499999999999943,0.7499999999999858,16.7,0.45,0.1499999999999999
physician,1.1000000000000005,5.449999999999996,0.8500000000000001,0.95,0.09999999999999432,15.850000000000001,0.0,18.700000000000003
worker,3.05,0.40000000000000213,4.8,0.0,0.3499999999999943,4.4,0.09999999999999998,4.6000000000000005
