,other_1,someone_1,woman_1,man_1,someone_0,woman_0,other_0,man_0
doctor,10.850000000000001,19.5,0.0,0.0,10.750000000000014,5.649999999999999,8.650000000000006,1.75
paramedic,7.200000000000003,1.3500000000000014,0.5499999999999998,0.0,3.1999999999999993,1.2999999999999998,1.25,2.6500000000000057
janitor,1.1999999999999993,3.299999999999999,0.8500000000000001,0.0,3.1000000000000014,5.699999999999989,3.0,0.0
technician,8.200000000000003,2.7500000000000036,1.8500000000000005,0.0,3.4000000000000057,2.1500000000000057,2.299999999999999,3.6000000000000005
instructor,25.200000000000017,21.25,0.0,0.0,0.0,0.0,0.0,0.0
lawyer,13.850000000000001,8.55,1.6000000000000014,3.9,0.0,0.0,11.949999999999989,0.0
officer,0.0,3.6000000000000014,1.4000000000000057,0.0,3.25,0.0,4.5,0.0
architect,0.0,0.0,0.0,0.0,0.0,5.75,9.25,0.0
manager,1.8000000000000007,10.000000000000007,0.75,0.40000000000000013,12.950000000000003,5.0,13.5,0.05000000000001137
bartender,0.19999999999999996,11.849999999999994,0.35,0.6499999999999999,0.0,0.25,17.900000000000006,0.0
accountant,0.0,8.4,0.0,0.0,23.299999999999997,5.0,20.8,3.4000000000000057
nutritionist,0.0,0.0,0.0,0.0,40.95,5.8,27.799999999999997,8.700000000000003
baker,0.0,20.800000000000004,0.15000000000000002,1.0499999999999972,1.6499999999999986,0.75,19.799999999999997,6.9
dispatcher,0.0,0.0,2.6500000000000004,2.1499999999999915,8.400000000000006,3.8500000000000085,3.700000000000003,2.299999999999997
scientist,6.6,11.699999999999996,5.199999999999989,2.8000000000000003,2.6499999999999986,1.1000000000000005,10.149999999999999,0.9000000000000057
advisor,12.899999999999999,9.899999999999999,0.6000000000000001,6.750000000000001,3.9499999999999993,1.1500000000000004,1.7499999999999982,5.349999999999994
supervisor,14.350000000000001,24.45,0.0,2.5,10.400000000000006,9.750000000000004,14.600000000000003,2.25
machinist,5.950000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receptionist,2.549999999999999,1.5499999999999972,0.0,2.4000000000000004,1.5999999999999979,0.29999999999999893,1.2000000000000028,2.8999999999999986
pharmacist,7.149999999999999,2.75,0.0,0.0,12.549999999999997,0.0,10.049999999999997,1.3499999999999943
hygienist,2.25,14.800000000000004,0.6500000000000004,1.0,15.799999999999997,1.049999999999999,12.45,2.6000000000000005
appraiser,1.950000000000001,1.5500000000000114,0.05000000000000071,1.75,2.3999999999999986,0.9000000000000004,9.450000000000001,1.0
firefighter,0.0,4.4,4.4,0.0,14.399999999999999,0.0,5.5,0.0
