,other_1,man_1,someone_1,man_0,woman_0,other_0,someone_0,woman_1
supervisor,1.6999999999999886,0.25000000000000044,0.6500000000000057,0.0,4.099999999999994,0.0,11.25,0.0
inspector,17.800000000000004,0.0,24.65,0.0,0.65,1.2999999999999998,5.3999999999999915,0.0
instructor,4.8999999999999915,16.450000000000003,37.25,0.0,8.700000000000003,7.450000000000003,0.0,1.4000000000000057
teacher,2.000000000000007,0.0,0.0,8.950000000000003,0.7,3.1500000000000057,0.0,0.0
pharmacist,3.650000000000002,0.0,1.8000000000000114,22.349999999999994,0.0,0.0,11.849999999999994,0.4500000000000002
paramedic,4.949999999999989,0.30000000000001137,1.8000000000000007,9.450000000000003,33.55,0.0,0.0,0.85
nutritionist,0.0,0.0,10.3,11.5,15.050000000000011,0.0,10.149999999999999,0.0
appraiser,4.350000000000001,0.0,20.750000000000007,0.0,7.800000000000004,12.5,10.699999999999996,5.900000000000006
veterinarian,1.2500000000000142,1.3000000000000003,8.099999999999994,0.14999999999999858,8.199999999999989,0.0,4.049999999999997,1.5499999999999972
investigator,3.8499999999999943,3.0,1.6499999999999986,0.0,3.8999999999999995,3.9499999999999993,3.5,0.0
lawyer,0.0,2.049999999999997,7.300000000000004,2.8499999999999943,1.3499999999999996,8.750000000000014,0.0,0.0
dietitian,4.149999999999999,0.0,1.5,0.0,4.950000000000003,0.0,0.0,1.0999999999999996
educator,0.0,0.2499999999999858,0.20000000000000284,4.6499999999999915,0.0,2.1000000000000014,1.5,2.700000000000003
auditor,43.95,0.0,4.3999999999999915,2.15,0.0,40.6,18.800000000000004,0.0
hygienist,1.4,0.0,1.65,0.0,0.0,1.2500000000000004,3.700000000000001,0.0
physician,0.25,0.75,1.1,5.450000000000003,0.0,0.6,2.8000000000000003,0.0
doctor,3.5999999999999943,0.0,0.9500000000000028,0.0,1.1499999999999915,0.0,32.45,1.2000000000000028
