,unspecified_0,male_0,female_0
practitioner,23.9,1.4000000000000057,1.799999999999983
dietitian,52.1,3.6000000000000005,5.699999999999989
psychologist,25.5,0.44999999999999984,1.0999999999999943
paramedic,15.900000000000006,0.5999999999999943,0.4000000000000057
worker,6.049999999999983,0.25,2.4000000000000057
veterinarian,16.89999999999999,1.8500000000000005,0.3499999999999943
mechanic,2.0,0.04999999999999716,4.700000000000017
planner,0.0,0.0,7.8
secretary,5.900000000000006,14.599999999999994,4.25
teacher,11.399999999999999,0.04999999999999716,0.75
appraiser,21.9,0.55,0.4
bartender,0.5,3.2,1.4210854715202004e-14
plumber,0.3500000000000001,0.15000000000000002,0.45
pathologist,19.15,9.350000000000009,4.450000000000001
programmer,4.2,6.6000000000000005,1.7000000000000002
officer,15.450000000000017,0.0,0.7999999999999972
specialist,0.40000000000000013,0.09999999999999987,0.15000000000000013
hairdresser,14.499999999999993,7.000000000000001,0.09999999999999998
engineer,3.9999999999999996,2.2500000000000018,3.5999999999999943
scientist,0.7,2.2,13.300000000000011
librarian,0.30000000000000004,3.8499999999999996,0.20000000000000284
receptionist,1.950000000000017,0.5999999999999999,0.5999999999999999
salesperson,19.450000000000003,0.8999999999999999,0.6000000000000001
firefighter,6.75,1.55,7.05
doctor,28.5,10.149999999999999,1.9000000000000057
accountant,13.2,1.25,0.0
pharmacist,26.95,5.85,5.049999999999997
lawyer,0.0,0.0,0.0
cashier,21.250000000000007,2.4499999999999993,0.09999999999999998
nutritionist,0.0,0.0,0.35
carpenter,0.8499999999999996,0.4500000000000002,6.349999999999994
technician,4.7,0.6500000000000001,1.6
investigator,0.0,0.0,0.09999999999999998
electrician,2.5500000000000114,0.04999999999999999,2.5
manager,18.1,8.049999999999997,7.100000000000001
nurse,0.5499999999999998,9.749999999999986,0.0
machinist,0.95,0.0,1.6
advisor,19.45,0.8500000000000001,0.5
hygienist,3.2500000000000018,3.6499999999999986,8.5
chemist,10.3,0.2499999999999999,0.09999999999999998
surgeon,17.35,0.0,0.0
broker,2.65,1.25,2.450000000000003
painter,0.75,1.5499999999999998,2.9999999999999996
counselor,36.4,0.0,0.1
janitor,11.799999999999997,0.29999999999999893,0.10000000000000053
dispatcher,0.0,0.30000000000001137,3.799999999999983
physician,24.699999999999996,0.40000000000000036,0.25
paralegal,16.949999999999996,0.0,0.14999999999999997
