,female_0,male_0,unspecified_0
surgeon,0.0,0.0,0.0
carpenter,3.0,0.0,4.0
chemist,3.8000000000000114,1.4,0.0
secretary,6.1499999999999995,2.25,8.5
planner,0.0,0.0,0.0
technician,4.85,1.8999999999999995,0.0
mechanic,6.45,1.25,6.200000000000001
nurse,0.75,8.950000000000003,0.0
physician,0.6000000000000014,6.5,20.4
bartender,0.0,0.0,0.0
hygienist,4.6,0.0,0.0
painter,6.949999999999999,6.600000000000001,9.15
lawyer,0.0,4.550000000000001,8.25
pathologist,0.0,0.0,20.8
broker,3.1000000000000085,2.249999999999999,3.9499999999999886
specialist,0.0,0.0,0.0
machinist,0.0,0.0,0.0
manager,2.1000000000000014,1.4000000000000004,12.3
psychologist,0.0,9.9,17.349999999999994
advisor,0.15000000000000568,1.0999999999999943,2.3
paramedic,6.349999999999994,0.0,4.449999999999999
dietitian,0.7000000000000011,12.599999999999994,23.05000000000001
counselor,0.0,3.4000000000000004,23.550000000000004
electrician,0.0,2.7,8.4
practitioner,0.0,0.0,0.0
veterinarian,5.35,0.0,0.0
nutritionist,0.0,0.0,0.0
hairdresser,2.5,2.8,2.1500000000000057
cashier,6.050000000000001,6.65,12.849999999999998
teacher,6.2,0.0,0.0
paralegal,0.0,3.1499999999999986,14.200000000000003
investigator,1.5,2.5,0.0
receptionist,3.5999999999999943,4.950000000000003,2.700000000000017
doctor,0.7999999999999972,3.15,0.0
appraiser,0.6499999999999999,0.0,9.649999999999999
worker,1.6999999999999886,0.0,3.4499999999999993
scientist,1.0000000000000004,1.2499999999999858,2.1500000000000004
pharmacist,9.75,7.4,13.549999999999997
salesperson,0.0,0.0,7.2
engineer,0.0,0.0,0.0
accountant,1.7999999999999972,3.9,10.5
janitor,0.0,0.0,0.0
officer,1.3499999999999943,1.0,4.649999999999999
firefighter,0.15000000000000213,0.0,0.0
librarian,4.349999999999994,1.9500000000000028,0.0
plumber,0.0,0.0,0.0
dispatcher,0.0,9.3,0.0
programmer,0.5000000000000142,0.44999999999999996,0.0
