,female_0,unspecified_0,male_0
receptionist,2.15,11.799999999999997,6.250000000000002
worker,0.1,0.30000000000000004,0.0
firefighter,0.8,4.0,12.0
appraiser,1.9000000000000004,14.15,20.700000000000003
manager,8.300000000000011,35.65,10.849999999999998
painter,1.2,24.299999999999997,13.75
psychologist,2.1999999999999886,16.39999999999999,7.300000000000001
paralegal,0.0,0.15000000000000002,0.0
specialist,4.35,14.450000000000003,4.15
secretary,6.149999999999999,24.050000000000004,11.549999999999999
janitor,2.7,4.6,0.5
plumber,0.7999999999999998,36.8,4.3
machinist,0.0,28.099999999999987,1.6499999999999995
dispatcher,0.19999999999998863,6.800000000000004,0.14999999999999858
officer,0.0,4.849999999999994,0.0
physician,0.5999999999999996,15.5,1.65
mechanic,0.09999999999999987,5.800000000000001,2.8000000000000114
cashier,0.5000000000000004,5.0,2.0
accountant,0.04999999999999982,9.15,2.549999999999997
nutritionist,3.1500000000000004,0.0,0.0
chemist,0.35,16.9,0.9000000000000021
programmer,0.6000000000000001,7.050000000000011,3.4000000000000004
practitioner,0.10000000000000009,0.5,0.4000000000000057
planner,0.0,0.0,0.0
doctor,4.699999999999999,2.049999999999999,2.75
surgeon,7.549999999999997,0.0,2.8499999999999943
veterinarian,2.999999999999986,6.150000000000001,2.0000000000000004
teacher,0.19999999999999973,10.3,2.150000000000002
carpenter,0.3999999999999915,9.1,2.0
nurse,0.3999999999999915,2.1000000000000005,2.5
dietitian,6.0,0.5,3.8500000000000085
paramedic,1.0499999999999998,0.04999999999999982,0.050000000000000044
salesperson,8.149999999999991,16.900000000000006,6.299999999999999
investigator,1.75,0.0,0.0
bartender,1.75,4.099999999999998,6.299999999999997
technician,0.2999999999999998,9.900000000000006,1.7000000000000002
counselor,0.0,0.0,0.0
electrician,2.5,12.199999999999996,15.700000000000003
pathologist,2.049999999999997,5.450000000000001,3.05
hairdresser,0.6000000000000001,0.6000000000000014,5.649999999999999
broker,0.14999999999999947,1.5999999999999996,5.300000000000001
engineer,0.19999999999999973,1.2,2.1000000000000005
librarian,0.050000000000000044,12.299999999999997,10.849999999999998
advisor,4.1499999999999995,28.75,13.550000000000002
lawyer,0.5000000000000142,16.900000000000006,1.6999999999999993
hygienist,2.55,5.3999999999999915,3.5500000000000007
scientist,0.1999999999999993,6.7499999999999964,1.4499999999999993
pharmacist,0.549999999999983,5.3500000000000005,0.9999999999999996
