,unspecified_0,male_0,female_0
pathologist,0.0,0.0,11.0
painter,6.65,4.350000000000001,31.85
salesperson,29.250000000000004,0.0,4.950000000000003
mechanic,7.100000000000001,0.0,1.5999999999999943
carpenter,9.8,9.2,0.0
officer,0.0,0.0,25.5
physician,0.30000000000001137,0.0,0.0
engineer,0.0,13.2,0.0
receptionist,11.0,2.0999999999999943,4.149999999999999
plumber,0.0,0.0,2.0999999999999943
counselor,0.0,19.5,0.0
dietitian,7.000000000000014,0.0,0.0
chemist,0.0,0.0,0.0
advisor,3.1500000000000057,0.0,4.400000000000006
nurse,19.0,0.0,0.0
accountant,3.3000000000000043,0.0,0.0
veterinarian,30.049999999999997,10.500000000000004,0.0
paralegal,0.0,9.25,3.3999999999999915
dispatcher,0.0,0.0,0.0
worker,1.5999999999999943,35.2,0.0
teacher,8.849999999999994,0.0,11.849999999999998
secretary,0.0,0.0,0.0
scientist,29.349999999999987,0.0,0.0
broker,26.200000000000003,13.950000000000003,0.0
paramedic,0.19999999999998863,2.3500000000000014,6.0
specialist,0.0,0.0,5.800000000000004
pharmacist,1.0499999999999972,0.0,0.0
bartender,21.19999999999999,0.0,0.0
programmer,5.249999999999993,0.04999999999999716,0.0
cashier,18.9,1.8499999999999943,2.4000000000000057
manager,1.2999999999999972,13.449999999999989,4.799999999999997
librarian,0.0,0.0,17.700000000000003
psychologist,16.900000000000006,0.0,12.850000000000001
machinist,5.999999999999993,5.049999999999983,0.0
technician,0.0,0.0,0.0
appraiser,18.10000000000001,11.449999999999989,0.0
nutritionist,0.0,0.0,0.0
doctor,8.850000000000005,97.1,0.0
practitioner,3.1499999999999986,0.0,0.8999999999999999
firefighter,0.0,0.0,0.1499999999999999
lawyer,0.0,0.04999999999999716,0.0
hairdresser,13.75,8.749999999999998,0.0
janitor,2.4499999999999993,38.65,34.25
surgeon,0.0,0.0,0.0
investigator,0.0,0.0,0.0
hygienist,11.599999999999994,19.750000000000004,48.35
planner,5.100000000000001,16.15,24.849999999999994
electrician,3.200000000000003,0.0,0.0
