,female_0,unspecified_0,male_0
appraiser,0.05,39.60000000000001,0.0
paramedic,0.0,1.8,0.0
specialist,0.0,15.7,0.0
lawyer,11.700000000000017,7.050000000000001,0.0
psychologist,0.0,8.199999999999989,0.0
counselor,0.09999999999999432,0.3999999999999999,0.0
broker,0.0,5.5,0.0
planner,9.8,0.0,0.0
officer,0.0,14.75,0.0
dietitian,0.05000000000000002,11.849999999999998,0.05
programmer,0.0,26.35000000000001,0.0
librarian,0.0,0.1499999999999999,0.0
doctor,0.75,0.15,0.0
receptionist,39.8,6.399999999999999,0.20000000000000284
investigator,0.7000000000000028,1.8999999999999915,0.0
salesperson,2.799999999999997,26.15,0.55
accountant,0.5,47.3,0.0
cashier,0.1,18.7,0.0
electrician,0.30000000000001137,1.7999999999999972,0.0
machinist,0.04999999999999716,9.55,0.0
veterinarian,0.04999999999999716,30.44999999999999,0.14999999999999147
janitor,0.05,2.9499999999999957,0.0
carpenter,0.04999999999999716,6.6499999999999995,0.0
plumber,0.0,3.75,0.0
engineer,0.0,37.1,0.0
painter,0.0,21.700000000000003,0.0
teacher,0.0,2.3000000000000003,0.0
practitioner,0.05,3.8999999999999995,0.44999999999998863
hygienist,0.75,0.95,0.04999999999999716
nutritionist,0.0,61.949999999999996,0.0
dispatcher,0.05000000000001137,10.8,0.0
pharmacist,0.0,5.65,0.0
hairdresser,0.0,5.75,0.0
chemist,0.0,29.5,0.0
paralegal,0.0,6.950000000000003,0.0
nurse,0.0,44.849999999999994,0.0
technician,0.0,4.7,0.0
firefighter,0.0,28.9,0.0
advisor,0.0,8.400000000000006,0.0
bartender,52.75,11.8,0.0
mechanic,0.0,0.20000000000000004,0.0
scientist,0.0,20.15,0.0
pathologist,0.0,38.599999999999994,0.04999999999999716
manager,45.15,19.200000000000003,0.0
physician,0.0,22.4,0.1
worker,0.04999999999999716,0.8,0.0
surgeon,0.05,0.55,0.0
secretary,1.5,5.35,0.09999999999999432
